seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
1,pruned,1000.0,5028,5027,0.9998,0,0.0,4417,2.983,150.7,130
1,sp,1000.0,5028,4866,0.9678,0,0.0,1658,2.954,145.3,0
2,swp,1000.0,4903,4903,1.0,0,0.0,,3.173,232.1,62
2,pruned,1000.0,5001,5001,1.0,0,0.0,,2.966,205.8,150
2,sp,1000.0,5022,4386,0.8734,0,0.0,513,2.864,203.4,0
3,swp,1000.0,5033,5033,1.0,0,0.0,,3.134,284.8,48
3,pruned,1000.0,5096,5096,1.0,0,0.0,,2.978,247.5,45
3,sp,1000.0,5096,5096,1.0,0,0.0,,2.978,247.5,0
4,swp,1000.0,4884,4884,1.0,0,0.0,,3.28,229.5,56
4,pruned,1000.0,4923,4923,1.0,0,0.0,,2.949,201.9,40
4,sp,1000.0,4923,4923,1.0,0,0.0,,2.949,201.9,0
5,swp,1000.0,4975,4975,1.0,0,0.0,,3.117,269.6,57
5,pruned,1000.0,4949,4947,0.9996,0,0.0,1342,2.984,244.0,105
5,sp,1000.0,5021,4913,0.9785,0,0.0,1342,2.968,234.1,0
6,swp,1000.0,5165,5165,1.0,0,0.0,,3.349,208.9,87
6,pruned,1000.0,4998,4994,0.9992,0,0.0,1695,2.976,153.4,341
6,sp,1000.0,4998,4903,0.981,0,0.0,1678,2.939,139.5,0
7,swp,1000.0,5136,5136,1.0,0,0.0,,3.549,190.3,109
7,pruned,1000.0,5035,5035,1.0,0,0.0,,2.972,133.5,89
7,sp,1000.0,4932,4869,0.9872,0,0.0,1088,2.956,132.9,0
8,swp,1000.0,5092,5092,1.0,0,0.0,,3.209,268.2,56
8,pruned,1000.0,5094,5093,0.9998,0,0.0,946,2.986,223.0,141
8,sp,1000.0,5036,4964,0.9857,0,0.0,946,2.983,216.9,0
9,swp,1000.0,5028,5028,1.0,0,0.0,,3.387,226.6,84
9,pruned,1000.0,5021,5021,1.0,0,0.0,,2.953,201.8,77
9,sp,1000.0,5021,5021,1.0,0,0.0,,2.953,201.8,0
0,swp,2000.0,9731,9731,1.0,0,0.0,,3.912,252.1,190
0,pruned,2000.0,9979,9970,0.9991,0,0.0,4042,3.003,183.3,586
0,sp,2000.0,9983,9710,0.9727,0,0.0,1392,2.955,172.5,0
1,swp,2000.0,10040,10040,1.0,0,0.0,,4.008,241.4,204
1,pruned,2000.0,9916,9900,0.9984,0,0.0,1055,2.978,146.4,830
1,sp,2000.0,9960,8644,0.8679,0,0.0,1055,2.856,147.1,0
2,swp,2000.0,9923,9923,1.0,0,0.0,,3.926,259.1,167
2,pruned,2000.0,10103,10098,0.9995,0,0.0,396,2.956,205.7,213
2,sp,2000.0,9944,8200,0.8246,0,0.0,396,2.814,201.3,0
3,swp,2000.0,9965,9965,1.0,0,0.0,,3.403,325.7,148
3,pruned,2000.0,9940,9938,0.9998,0,0.0,7235,2.959,246.6,389
