seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
1,swp,100.0,532,532,1.0,0,0.0,,5.423,192.9,6
1,pruned,100.0,529,529,1.0,0,0.0,,3.898,214.7,6
1,sp,100.0,529,529,1.0,0,0.0,,3.898,214.7,0
2,swp,100.0,512,512,1.0,0,0.0,,5.5,141.0,11
2,pruned,100.0,524,524,1.0,0,0.0,,4.017,115.7,4
2,sp,100.0,524,524,1.0,0,0.0,,4.017,115.7,0
3,swp,100.0,518,518,1.0,0,0.0,,5.436,292.0,8
3,pruned,100.0,491,491,1.0,0,0.0,,3.984,283.2,1
3,sp,100.0,491,491,1.0,0,0.0,,3.984,283.2,0
4,swp,100.0,493,493,1.0,0,0.0,,4.98,169.1,26
4,pruned,100.0,530,530,1.0,0,0.0,,3.908,115.6,17
4,sp,100.0,530,530,1.0,0,0.0,,3.908,115.6,0
5,swp,100.0,523,523,1.0,0,0.0,,4.145,170.1,6
5,pruned,100.0,501,501,1.0,0,0.0,,4.014,157.4,9
5,sp,100.0,501,501,1.0,0,0.0,,4.014,157.4,0
6,swp,100.0,479,479,1.0,0,0.0,,5.232,178.5,6
6,pruned,100.0,496,496,1.0,0,0.0,,3.907,146.9,3
6,sp,100.0,496,496,1.0,0,0.0,,3.907,146.9,0
7,swp,100.0,484,484,1.0,0,0.0,,4.287,143.0,2
7,pruned,100.0,511,511,1.0,0,0.0,,3.804,139.6,1
7,sp,100.0,511,511,1.0,0,0.0,,3.804,139.6,0
8,swp,100.0,476,476,1.0,0,0.0,,4.246,365.1,4
8,pruned,100.0,500,500,1.0,0,0.0,,3.79,311.1,8
8,sp,100.0,500,500,1.0,0,0.0,,3.79,311.1,0
9,swp,100.0,519,519,1.0,0,0.0,,4.204,186.3,2
9,pruned,100.0,528,528,1.0,0,0.0,,3.941,168.5,1
9,sp,100.0,528,528,1.0,0,0.0,,3.941,168.5,0
0,swp,200.0,984,984,1.0,0,0.0,,4.398,203.4,17
0,pruned,200.0,962,962,1.0,0,0.0,,3.793,150.6,14
0,sp,200.0,962,962,1.0,0,0.0,,3.793,150.6,0
1,swp,200.0,1054,1054,1.0,0,0.0,,4.559,226.8,32
1,pruned,200.0,1058,1058,1.0,0,0.0,,3.87,231.7,16
1,sp,200.0,1058,1058,1.0,0,0.0,,3.87,231.7,0
2,swp,200.0,982,982,1.0,0,0.0,,5.758,120.6,38
2,pruned,200.0,1006,1006,1.0,0,0.0,,5.176,122.5,80
2,sp,200.0,999,942,0.9429,0,0.0,250,3.845,94.5,0
3,swp,200.0,985,985,1.0,0,0.0,,4.793,274.6,17
3,pruned,200.0,1038,1038,1.0,0,0.0,,3.923,274.9,5
3,sp,200.0,1038,1038,1.0,0,0.0,,3.923,274.9,0
4,swp,200.0,1026,1026,1.0,0,0.0,,5.194,149.3,42
4,pruned,200.0,979,975,0.9959,0,0.0,347,4.927,95.7,259
4,sp,200.0,1027,825,0.8033,0,0.0,161,3.68,112.8,0
5,swp,200.0,986,986,1.0,0,0.0,,4.438,171.5,14
5,pruned,200.0,1039,1039,1.0,0,0.0,,3.894,167.5,6
5,sp,200.0,1039,1039,1.0,0,0.0,,3.894,167.5,0
6,swp,200.0,998,998,1.0,0,0.0,,4.833,187.9,15
6,pruned,200.0,1049,1049,1.0,0,0.0,,4.159,141.0,49
6,sp,200.0,1007,1000,0.993,0,0.0,431,3.809,138.4,0
7,swp,200.0,980,980,1.0,0,0.0,,4.509,142.8,14
7,pruned,200.0,993,993,1.0,0,0.0,,3.925,116.6,12
7,sp,200.0,993,993,1.0,0,0.0,,3.925,116.6,0
8,swp,200.0,1034,1034,1.0,0,0.0,,4.387,393.8,13
8,pruned,200.0,1059,1058,0.9991,0,0.0,799,4.015,268.6,68
8,sp,200.0,1003,992,0.989,0,0.0,776,3.887,255.3,0
9,swp,200.0,1050,1050,1.0,0,0.0,,4.134,193.1,16
9,pruned,200.0,1034,1034,1.0,0,0.0,,3.991,144.1,9
9,sp,200.0,1034,1034,1.0,0,0.0,,3.991,144.1,0
